id_app,id_genre
229230,1
229250,1
229270,1
229290,1
229310,1
229480,1
229480,2
229480,7
229520,3
229520,4
229520,0
229560,1
229560,4
229560,8
229560,15
229580,2
229580,4
229600,3
229600,4
229600,8
229627,1
229627,2
229629,1
229629,2
229660,9
229660,10
229751,7
229751,18
229752,12
229752,18
229753,12
229753,18
229754,12
229754,18
229755,12
229755,18
229757,12
229757,18
229758,12
229758,18
228600,4
228600,0
228601,4
228601,0
228760,9
228760,10
228860,1
228860,9
228880,4
228880,8
228880,0
228960,4
228960,0
229080,1
227740,11
227760,8
227760,0
227780,1
227780,4
227800,1
227800,4
227860,4
227860,8
227860,0
227940,1
227940,5
227940,4
227940,6
227940,0
227960,1
228180,19
228180,16
228180,17
228180,14
228180,20
228180,18
228200,1
228200,0
228260,4
228260,7
228260,0
228280,2
228280,7
228300,1
228300,2
228320,1
228320,2
228320,4
228320,0
228360,2
228380,1
228380,4
228380,9
228380,8
228380,10
228400,1
228400,8
228421,1
228421,3
228440,4
228440,0
227060,4
227060,7
227060,8
227060,0
227080,2
227080,3
227080,4
227090,2
227090,4
227100,1
227129,1
227129,2
227132,2
227160,1
227160,4
227160,8
227180,5
227180,4
227180,6
227180,7
227180,8
227180,0
227200,1
227200,2
227200,4
227240,11
227240,12
227240,16
227240,14
227240,18
227260,14
227280,1
227280,2
227280,3
227280,4
227310,4
227310,8
227380,1
227380,2
227380,3
227420,21
227420,3
227420,4
227560,1
227560,4
227580,1
227580,3
227580,4
227580,7
227680,1
227680,2
227680,4
227680,7
227680,8
227680,0
226560,2
226620,2
226620,3
226620,4
226620,7
226620,0
226660,0
226662,0
226663,0
226664,0
226665,8
226665,0
226666,8
226666,0
226667,7
226667,8
226667,0
226668,7
226668,8
226668,0
226669,7
226669,8
226669,0
226670,7
226670,8
226670,0
226671,7
226671,8
226671,0
226672,7
226672,8
226672,0
226673,7
226673,8
226673,0
226700,1
226700,5
226700,4
226700,6
226700,7
226740,2
226740,3
226740,4
226740,7
226740,8
226780,9
226780,10
226820,2
226840,7
226840,0
226860,4
226860,0
